"city_id","city_name","m_city_id","city_image1","city_image2","city_image3","country_id","city_description","latitude","longitude","deleted"
"1","Adams Peak","0","adamspeak.jpg","adamspeak.jpg","adamspeak.jpg","2","Adam's Peak standing 7,360 ft. (2,243 meters) high. This is the country''s holiest mountain. Its name derives from a claim by the early Muslims that it is the place where Adam first set foot on earth, thus indirectly claiming that Sri Lanka is the original Garden of Eden. However, the more popular name is ''Sripada'' or the sacred foot print, in the belief that Buddha''s foot print is found At the summit. The ideal climb should be at night so as to reach the top early morning and see the almost supernatural spectacle of the magnified triangular shadow of the peak, superimposed on the countryside at dawn.
","6.8096429","80.4993882","0"
"2","Ahangama","0",,,,"2",,"5.9923437","80.3572869","0"
"3","Ahungalla","0",,,,"2","The resort is very self-contained and is close to Galle and Hikkaduwa.","6.3140615","80.0422025","0"
"4","Aluthgama","0",,,,"2","Aluthgama is a picturesque fishing village with colorful local markets which has slowly developed from a sleepy wayside hamlet into quite a bustling town with a plethora of shopping.","6.4372237","79.9969681","0"
"5","Aluvihare","0",,,,"2","Visit the Aluvihare Temple. It was here, in the 2nd century B.C. That around 500 devoted monks committed to write the Buddha''s scriptures which is known as ""Tripitaka"".","7.4982222","80.6238127","0"
"6","Ambalangoda","0",,,,"2","Ambalangoda is a charming seaside town on the south-western coast. It is the home of the mask carvers. These colorful masks are used by dancers performing exorcistic rituals and folk dances. There is also an old Dutch Church.","6.247261","80.055364","0"
"7","Ambepussa ","0",,,,"2","It is a popular rest-stop en route to Kandy and the Ancient Cities areas.","7.24148","80.2111602","0"
"8","Ampara","0",,,,"2",,"7.2962304","81.6770303","0"
"9","Anamaduwa","0",,,,"2",,"7.8769623","80.0120973","0"
"10","Anuradhapura","0",,,,"2","Anuradhapura is the first ancient capital of Sri Lanka from 3rd Century BC to 11th Century AD. At its height, Anuradhapura was one of the greatest cities of its age, functioning as the island""s centre of both temporal and spiritual power, dotted with dozens of monasteries populated by as many as 10,000 monks - one of the greatest monastic cities the world has ever seen. The most extensive of all the ancient cities, Anuradhapura is a UNESCO world heritage site.","8.3351518","80.4030257","0"
"11","Arugambay","0",,,,"2","Arugam Bay, which was totally devastated in the 2004 Tsunami, is a sleepy fishing village on the East Coast. It''s best claim to fame is that it is known to be one of the top ten surfing beaches in the world, and it is the venue for a number of international surfing tournaments.","6.8480767","81.8373794","0"
"12","Aukana","0",,,,"2","""The Aukana Buddha statue beyond doubt is the most magnificent, undamaged statue in Sri Lanka. It was built in the reign of King Dhatusena in the 5th century and is 39 ft (12 meters) high. The Name """"Aukana"""" means """"Sun-eating"""".","8.010765","80.513108","0"
"13","Aukana Maho","0",,,,"2",,"8.010765","80.513108","0"
"14","Avissawella","0",,,,"2",,"8.010765","80.513108","0"
"15","Badulla","0",,,,"2","Easily the most interesting building in Badulla is the eighteenth century Katarahama Devale,in the town center between King Street and Lower Street. It''s very Kandyan in style: the main shrine consists of a long narrow wooden structure, decorated with a faded, possibly Kandyan-era painting of a perahera.","6.9887916","81.0590172","0"
"16","Balapitiya","0",,,,"2","The village of Ambalangoda is the starting point of interesting boat safaris along the Madu Ganga, a good place to spot water monitors and a wide array of birdlife, including myriad colorful kingfishers.","6.2778854","80.0462338","0"
"18","Bandarawela","0",,,,"2","Midway between Ella and Haputale, lies the lovely little town of Bandarawela.","6.8364582","80.9949833","0"
"19","Batticaloa","0",,,,"2","The town is surrounded by water on three sides, and the constantly shifting views of land, lagoon and ocean lend Batticloa an interesting-if disorienting -character.It''s a pleasant enough place. Batticaloa was the first Sri Lankan stronghold of the Dutch, who constructed the town''s solid-looking Fort, which stands some 200m behind the large public library at the west end of the town center. The hulking and rather dour exterior walls are well preserved, whilst inside an old colonial warehouse and various modern buildings are crammed together cheek by jowl.There''s a grand  view of the lagoon from the far side of the fort. Around 35km north of Batticaloa lie the adjacent beaches of Kalkudah and Passekudah: two magnificent arcs of fine white sand, separated by a slender headland on which sits Kalkudah village. But actual beaches are still beautiful, and offer good swimming and calm, safe water. The beaches are popular both among locals and foreigners.","7.7340001","81.6784811","0"
"20","Belihuloya","0",,,,"2","Around 30km west of Haputale,the pleasantly soporific little town of BELIHUL OYA lies in pretty wooded scenery at the foot of the hill country-a strenuous route leads from here up to World''s End. The town is also the nearest jumping off point for the Bambarakanda Falls.","6.7186961","80.7714093","0"
"21","Bentota","0",,,,"2","This is the best-established package-holiday destination on the island. It offers a further clutch of package resorts plus an outstanding selection of more up market places. The beach divides into two areas. At the north end, facing Aluthgama lies """"Paradise Island""""(as it's popular known), a narrow spit of land beautifully sandwiched between the choppy breakers of the Indian Ocean and the calm waters of the Bentota lagoon. It provides the setting for the island''s biggest range of water sports of, along with interesting boat trips up the Bentota river. The attractive southern end of Bentota beach comprises a wide and tranquil swathe of sand that''s home to one of the island''s finest clusters of top-end hotels.","6.425604","80.0036927","0"
"22","Beragala","0",,,,"2",,"6.7618688","80.9175252","0"
